#Data tag : 24v2 , Norm tag: composite
# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 348457 --end 362782 > lumi_2022.txt
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 355100:7920 | 07/05/22 14:47:25 | 283  | 279  | 0.000026348    | 0.000025569   |
| 355101:7920 | 07/05/22 16:37:01 | 33   | 31   | 0.000002615    | 0.000002447   |
| 355102:7920 | 07/05/22 16:49:44 | 23   | 20   | 0.000001578    | 0.000001191   |
| 355103:7920 | 07/05/22 16:58:38 | 49   | 43   | 0.000004653    | 0.000003837   |
| 355104:7920 | 07/05/22 17:17:22 | 34   | 28   | 0.000003325    | 0.000002563   |
| 355105:7920 | 07/05/22 17:30:33 | 35   | 29   | 0.000003395    | 0.000002681   |
| 355106:7920 | 07/05/22 17:44:01 | 34   | 27   | 0.000003262    | 0.000002401   |
| 355107:7920 | 07/05/22 17:56:53 | 36   | 29   | 0.000003443    | 0.000002705   |
| 355108:7920 | 07/05/22 18:10:31 | 41   | 34   | 0.000004003    | 0.000003167   |
| 355109:7920 | 07/05/22 18:26:15 | 35   | 29   | 0.000003481    | 0.000002725   |
| 355110:7920 | 07/05/22 18:39:39 | 34   | 28   | 0.000003366    | 0.000002686   |
| 355111:7920 | 07/05/22 18:52:47 | 33   | 28   | 0.000003250    | 0.000002616   |
| 355112:7920 | 07/05/22 19:06:00 | 33   | 27   | 0.000003226    | 0.000002523   |
| 355113:7920 | 07/05/22 19:18:45 | 33   | 27   | 0.000003309    | 0.000002493   |
| 355114:7920 | 07/05/22 19:31:31 | 7    | 4    | 0.000000709    | 0.000000002   |
| 355115:7920 | 07/05/22 19:33:56 | 6    | 1    | 0.000000608    | 0.000000002   |
| 355116:7920 | 07/05/22 19:35:59 | 7    | 5    | 0.000000711    | 0.000000002   |
| 355117:7920 | 07/05/22 19:39:25 | 39   | 34   | 0.000003894    | 0.000003278   |
| 355118:7920 | 07/05/22 19:55:00 | 31   | 27   | 0.000003130    | 0.000002571   |
| 355119:7920 | 07/05/22 20:07:48 | 31   | 27   | 0.000003107    | 0.000002595   |
| 355120:7920 | 07/05/22 20:20:31 | 33   | 27   | 0.000003278    | 0.000002514   |
| 355121:7920 | 07/05/22 20:33:16 | 42   | 35   | 0.000004131    | 0.000003343   |
| 355122:7920 | 07/05/22 20:49:16 | 34   | 28   | 0.000003479    | 0.000002763   |
| 355123:7920 | 07/05/22 21:02:21 | 33   | 27   | 0.000003354    | 0.000002535   |
| 355124:7920 | 07/05/22 21:14:57 | 34   | 27   | 0.000003424    | 0.000002639   |
| 355125:7920 | 07/05/22 21:27:51 | 5    | 3    | 0.000000502    | 0.000000002   |
| 355126:7920 | 07/05/22 21:30:17 | 6    | 4    | 0.000000601    | 0.000000002   |
| 355127:7920 | 07/05/22 21:33:22 | 47   | 43   | 0.000004669    | 0.000004172   |
| 355128:7920 | 07/05/22 21:52:20 | 31   | 27   | 0.000003191    | 0.000002658   |
| 355129:7920 | 07/05/22 22:05:00 | 31   | 27   | 0.000003186    | 0.000002697   |
| 355130:7920 | 07/05/22 22:17:40 | 270  | 270  | 0.000026728    | 0.000026336   |
| 355133:7921 | 07/06/22 02:34:27 | 278  | 274  | 0.000055398    | 0.000053704   |
| 355134:7921 | 07/06/22 04:22:12 | 146  | 144  | 0.000031147    | 0.000029424   |
| 355135:7921 | 07/06/22 05:18:57 | 1081 | 1081 | 0.000213382    | 0.000206269   |
| 355203:7923 | 07/07/22 00:21:21 | 18   | 11   | 0.000015089    | 0.000007615   |
| 355204:7923 | 07/07/22 00:27:59 | 22   | 14   | 0.000017958    | 0.000006100   |
| 355205:7923 | 07/07/22 00:36:28 | 56   | 48   | 0.000046219    | 0.000029939   |
| 355206:7923 | 07/07/22 00:57:55 | 244  | 237  | 0.000192774    | 0.000148486   |
| 355207:7923 | 07/07/22 02:32:36 | 752  | 749  | 0.000546245    | 0.000535227   |
| 355208:7923 | 07/07/22 07:24:31 | 514  | 514  | 0.000391870    | 0.000384420   |
| 355374:7960 | 07/10/22 12:15:14 | 52   | 44   | 0.000344439    | 0.000191110   |
| 355375:7960 | 07/10/22 12:35:05 | 23   | 6    | 0.000156476    | 0.000018751   |
| 355376:7960 | 07/10/22 12:43:45 | 71   | 62   | 0.000477148    | 0.000232587   |
| 355379:7960 | 07/10/22 13:11:03 | 170  | 163  | 0.001069660    | 0.000907375   |
| 355380:7960 | 07/10/22 14:16:55 | 294  | 265  | 0.002322540    | 0.001648687   |
| 355381:7960 | 07/10/22 16:11:05 | 361  | 358  | 0.002607809    | 0.002136460   |
| 355382:7960 | 07/10/22 18:31:06 | 108  | 101  | 0.000701401    | 0.000541585   |
| 355383:7960 | 07/10/22 19:13:01 | 274  | 274  | 0.001587421    | 0.001337698   |
| 355404:7963 | 07/11/22 02:27:34 | 1079 | 1068 | 0.007818294    | 0.007430061   |
| 355405:7963 | 07/11/22 09:26:35 | 23   | 13   | 0.000145874    | 0.000056688   |
| 355406:7963 | 07/11/22 09:35:12 | 29   | 22   | 0.000185261    | 0.000100719   |
| 355407:7963 | 07/11/22 09:46:22 | 46   | 42   | 0.000290578    | 0.000185398   |
| 355408:7963 | 07/11/22 10:04:02 | 41   | 33   | 0.000254206    | 0.000147110   |
| 355409:7963 | 07/11/22 10:19:37 | 9    | 5    | 0.000054249    | 0.000000831   |
| 355410:7963 | 07/11/22 10:22:52 | 19   | 12   | 0.000115570    | 0.000043621   |
| 355411:7963 | 07/11/22 10:30:12 | 25   | 3    | 0.000151424    | 0.000001133   |
| 355414:7963 | 07/11/22 10:39:54 | 19   | 12   | 0.000114092    | 0.000042833   |
| 355415:7963 | 07/11/22 10:47:11 | 23   | 4    | 0.000136866    | 0             |
| 355417:7963 | 07/11/22 10:55:58 | 26   | 12   | 0.000153234    | 0.000046073   |
| 355418:7963 | 07/11/22 11:05:52 | 47   | 41   | 0.000272582    | 0.000230946   |
| 355419:7963 | 07/11/22 11:24:08 | 124  | 109  | 0.000517370    | 0.000502934   |
| 355429:7965 | 07/11/22 14:40:20 | 67   | 67   | 0.000426491    | 0.000390743   |
| 355435:7966 | 07/11/22 17:19:12 | 61   | 48   | 0.000485575    | 0.000264536   |
| 355437:7966 | 07/11/22 17:42:46 | 15   | 10   | 0.000121172    | 0.000055270   |
| 355438:7966 | 07/11/22 17:48:31 | 21   | 17   | 0.000175186    | 0.000092201   |
| 355439:7966 | 07/11/22 17:56:22 | 16   | 11   | 0.000131541    | 0.000058689   |
| 355440:7966 | 07/11/22 18:02:31 | 11   | 4    | 0.000089999    | 0.000000079   |
| 355441:7966 | 07/11/22 18:06:31 | 20   | 14   | 0.000165864    | 0.000080633   |
| 355442:7966 | 07/11/22 18:14:11 | 29   | 22   | 0.000240114    | 0.000133208   |
| 355443:7966 | 07/11/22 18:25:07 | 243  | 240  | 0.002034494    | 0.001924874   |
| 355444:7966 | 07/11/22 19:59:14 | 159  | 154  | 0.001327124    | 0.001227795   |
| 355445:7966 | 07/11/22 21:00:53 | 249  | 249  | 0.001602549    | 0.001550389   |
| 355454:7967 | 07/12/22 01:33:38 | 105  | 92   | 0.000689302    | 0.000584042   |
| 355455:7967 | 07/12/22 02:14:05 | 53   | 39   | 0.000341663    | 0.000246658   |
| 355456:7967 | 07/12/22 02:34:24 | 515  | 502  | 0.003112503    | 0.003066297   |
| 355457:7967 | 07/12/22 05:54:11 | 236  | 229  | 0.000000083    | 0.000000077   |
| 355458:7967 | 07/12/22 07:25:43 | 5    | 3    | 0.000000001    | 0             |
| 355459:7967 | 07/12/22 07:27:33 | 9    | 4    | 0.000000003    | 0             |
| 355460:7967 | 07/12/22 07:31:02 | 12   | 6    | 0.000000003    | 0             |
| 355461:7967 | 07/12/22 07:35:40 | 17   | 7    | 0.000000005    | 0             |
| 355462:7967 | 07/12/22 07:41:55 | 19   | 6    | 0.000000006    | 0             |
| 355463:7967 | 07/12/22 07:49:14 | 88   | 88   | 0.000000020    | 0.000000019   |
| 355558:7969 | 07/13/22 00:38:06 | 341  | 335  | 0.014531364    | 0.013477217   |
| 355559:7969 | 07/13/22 02:50:34 | 255  | 168  | 0.010077843    | 0.006771514   |
| 355679:7978 | 07/14/22 16:56:48 | 72   | 64   | 0.001448948    | 0.001166112   |
| 355680:7978 | 07/14/22 17:24:25 | 1660 | 1660 | 0.049971177    | 0.048049219   |
| 355768:8007 | 07/18/22 03:13:25 | 91   | 85   | 0.002844228    | 0.002451905   |
| 355769:8007 | 07/18/22 03:48:39 | 549  | 549  | 0.016798550    | 0.015885153   |
| 355862:8016 | 07/19/22 18:08:10 | 30   | 23   | 0.001829205    | 0.001201046   |
| 355863:8016 | 07/19/22 18:19:43 | 23   | 14   | 0.001377529    | 0.000737608   |
| 355865:8016 | 07/19/22 18:28:32 | 321  | 321  | 0.016240892    | 0.015583654   |
| 355870:8017 | 07/19/22 22:59:37 | 47   | 45   | 0.002412761    | 0.002072402   |
| 355871:8017 | 07/19/22 23:17:54 | 18   | 14   | 0.000983187    | 0.000492324   |
| 355872:8017 | 07/19/22 23:24:45 | 1228 | 1228 | 0.079157560    | 0.070226506   |
| 355892:8018 | 07/20/22 10:19:59 | 199  | 199  | 0.011560404    | 0.011068149   |
| 355912:8019 | 07/20/22 14:17:20 | 167  | 162  | 0.010580736    | 0.009218470   |
| 355913:8019 | 07/20/22 15:22:09 | 106  | 106  | 0.006321538    | 0.005841851   |
| 355921:8020 | 07/20/22 18:48:52 | 412  | 409  | 0.024788020    | 0.022958599   |
| 355933:8022 | 07/21/22 01:54:49 | 405  | 405  | 0.002378274    | 0.001617021   |
| 355942:8023 | 07/21/22 06:45:12 | 197  | 197  | 0.001665204    | 0.001561944   |
| 355988:8027 | 07/21/22 23:02:22 | 56   | 51   | 0.004437196    | 0.003189921   |
| 355989:8027 | 07/21/22 23:23:47 | 33   | 24   | 0.003185177    | 0.001268138   |
| 355990:8027 | 07/21/22 23:36:35 | 36   | 26   | 0.003731061    | 0.001670850   |
| 355991:8027 | 07/21/22 23:50:31 | 57   | 53   | 0.004822580    | 0.004181215   |
| 355992:8027 | 07/22/22 00:12:39 | 21   | 17   | 0.002109744    | 0.001556516   |
| 355993:8027 | 07/22/22 00:20:32 | 86   | 80   | 0.008440885    | 0.006903292   |
| 355994:8027 | 07/22/22 00:53:55 | 31   | 24   | 0.002887649    | 0.001770171   |
| 355995:8027 | 07/22/22 01:05:57 | 12   | 4    | 0.001101226    | 0.000015719   |
| 355996:8027 | 07/22/22 01:10:17 | 27   | 23   | 0.002494316    | 0.001720285   |
| 355997:8027 | 07/22/22 01:20:41 | 39   | 26   | 0.003530322    | 0.002132350   |
| 355998:8027 | 07/22/22 01:35:51 | 40   | 35   | 0.003508548    | 0.002649537   |
| 355999:8027 | 07/22/22 01:51:17 | 17   | 9    | 0.001456298    | 0.000646332   |
| 356001:8027 | 07/22/22 01:57:33 | 33   | 23   | 0.002839045    | 0.001817908   |
| 356002:8027 | 07/22/22 02:10:02 | 11   | 5    | 0.000917504    | 0.000353232   |
| 356003:8027 | 07/22/22 02:14:17 | 283  | 273  | 0.022220995    | 0.020930504   |
| 356004:8027 | 07/22/22 04:04:14 | 28   | 20   | 0.002085871    | 0.001389064   |
| 356005:8027 | 07/22/22 04:14:46 | 194  | 194  | 0.013030831    | 0.012538656   |
| 356041:8030 | 07/22/22 17:52:29 | 4    | 0    | 0.000413520    | 0             |
| 356042:8030 | 07/22/22 17:54:03 | 16   | 10   | 0.001125775    | 0.000000840   |
| 356043:8030 | 07/22/22 18:00:07 | 91   | 65   | 0.009813182    | 0.005587474   |
| 356046:8030 | 07/22/22 18:35:17 | 87   | 79   | 0.010768559    | 0.009439613   |
| 356047:8030 | 07/22/22 19:08:53 | 18   | 10   | 0.002224967    | 0.001043526   |
| 356048:8030 | 07/22/22 19:15:47 | 16   | 16   | 0.000471133    | 0.000348537   |
| 356071:8033 | 07/23/22 12:41:42 | 383  | 366  | 0.044789728    | 0.039034084   |
| 356073:8033 | 07/23/22 15:10:12 | 28   | 20   | 0.003345072    | 0.002124399   |
| 356074:8033 | 07/23/22 15:21:04 | 93   | 81   | 0.011247964    | 0.009318586   |
| 356075:8033 | 07/23/22 15:57:05 | 155  | 146  | 0.018849279    | 0.014000683   |
| 356076:8033 | 07/23/22 16:56:57 | 159  | 152  | 0.019511394    | 0.017147608   |
| 356077:8033 | 07/23/22 17:58:32 | 479  | 479  | 0.052584550    | 0.050375076   |
| 356135:8043 | 07/25/22 11:05:49 | 45   | 45   | 0.003844852    | 0.003400059   |
| 356155:8046 | 07/25/22 17:44:11 | 2    | 0    | 0.000240155    | 0             |
| 356158:8046 | 07/25/22 17:44:57 | 46   | 5    | 0.005373372    | 0.000000018   |
| 356161:8046 | 07/25/22 18:02:42 | 8    | 4    | 0.000911500    | 0.000000009   |
| 356162:8046 | 07/25/22 18:05:36 | 37   | 17   | 0.004128982    | 0.001836698   |
| 356163:8046 | 07/25/22 18:19:46 | 28   | 20   | 0.003187164    | 0.002092103   |
| 356164:8046 | 07/25/22 18:30:38 | 79   | 73   | 0.012447187    | 0.011408479   |
