#Data tag : 24v2 , Norm tag: composite
# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 366442 --end 370790  > lumi_2023.txt
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 366442:8637 | 04/21/23 21:40:14 | 442  | 442  | 0.000123391    | 0.000121806   |
| 366449:8639 | 04/22/23 03:35:22 | 240  | 236  | 0.000216901    | 0.000207341   |
| 366450:8639 | 04/22/23 05:08:32 | 195  | 190  | 0.000204779    | 0.000182112   |
| 366451:8639 | 04/22/23 06:24:11 | 1295 | 1295 | 0.001010289    | 0.000956007   |
| 366469:8642 | 04/22/23 20:29:16 | 1099 | 1085 | 0.009554440    | 0.008266293   |
| 366470:8642 | 04/23/23 03:36:09 | 103  | 6    | 0.000914148    | 0.000000057   |
| 366471:8642 | 04/23/23 04:16:07 | 157  | 157  | 0.001258447    | 0.001016841   |
| 366494:8644 | 04/23/23 11:49:23 | 140  | 123  | 0.001040724    | 0.000692946   |
| 366495:8644 | 04/23/23 12:43:45 | 386  | 373  | 0.004386171    | 0.003378216   |
| 366496:8644 | 04/23/23 15:13:44 | 60   | 52   | 0.000659173    | 0.000377286   |
| 366497:8644 | 04/23/23 15:36:55 | 358  | 350  | 0.003411017    | 0.002903702   |
| 366498:8644 | 04/23/23 17:55:39 | 128  | 111  | 0.001108416    | 0.000573996   |
| 366499:8644 | 04/23/23 18:45:08 | 489  | 470  | 0.003676367    | 0.003166018   |
| 366500:8644 | 04/23/23 21:55:00 | 78   | 78   | 0.000461869    | 0.000411007   |
| 366504:8645 | 04/24/23 00:32:06 | 1643 | 1643 | 0.014870107    | 0.013217239   |
| 366533:8654 | 04/25/23 01:42:10 | 165  | 165  | 0.001301809    | 0.001035030   |
| 366724:8675 | 04/27/23 21:50:24 | 63   | 30   | 0.001960339    | 0.000590346   |
| 366727:8675 | 04/27/23 22:14:39 | 253  | 244  | 0.017663939    | 0.015848445   |
