# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 378981 --end 386951 -b "STABLE BEAMS" > lumi_2024.txt
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+--------------+-------------------+------+------+----------------+---------------+
| 378981:9473  | 04/05/24 16:25:46 | 858  | 858  | 0.000246337    | 0.000229134   |
| 378985:9474  | 04/06/24 00:24:10 | 777  | 777  | 0.000263095    | 0.000259124   |
| 378993:9475  | 04/06/24 08:00:31 | 90   | 81   | 0.000095070    | 0.000079251   |
| 378994:9475  | 04/06/24 08:35:14 | 34   | 27   | 0.000040884    | 0.000032892   |
| 378995:9475  | 04/06/24 08:48:26 | 33   | 25   | 0.000050864    | 0.000036057   |
| 378996:9475  | 04/06/24 09:00:58 | 31   | 23   | 0.000049792    | 0.000035665   |
| 378997:9475  | 04/06/24 09:12:52 | 30   | 22   | 0.000047886    | 0.000034202   |
| 378998:9475  | 04/06/24 09:24:32 | 31   | 22   | 0.000053903    | 0.000038356   |
| 378999:9475  | 04/06/24 09:36:18 | 32   | 24   | 0.000054973    | 0.000039093   |
| 379000:9475  | 04/06/24 09:48:29 | 32   | 23   | 0.000054139    | 0.000037899   |
| 379001:9475  | 04/06/24 10:00:48 | 31   | 23   | 0.000051368    | 0.000035898   |
| 379002:9475  | 04/06/24 10:12:36 | 7    | 2    | 0.000011545    | 0.000000270   |
| 379003:9475  | 04/06/24 10:15:00 | 34   | 27   | 0.000055534    | 0.000040704   |
| 379004:9475  | 04/06/24 10:28:02 | 33   | 25   | 0.000053010    | 0.000038261   |
| 379005:9475  | 04/06/24 10:40:36 | 31   | 23   | 0.000048931    | 0.000034603   |
| 379006:9475  | 04/06/24 10:52:20 | 32   | 24   | 0.000049574    | 0.000034931   |
| 379007:9475  | 04/06/24 11:04:31 | 32   | 23   | 0.000048334    | 0.000033205   |
| 379008:9475  | 04/06/24 11:16:38 | 32   | 23   | 0.000046576    | 0.000031877   |
| 379009:9475  | 04/06/24 11:28:47 | 31   | 22   | 0.000046072    | 0.000031885   |
| 379010:9475  | 04/06/24 11:40:32 | 46   | 23   | 0.000067183    | 0.000032178   |
| 379011:9475  | 04/06/24 11:58:18 | 411  | 399  | 0.000538106    | 0.000473617   |
| 379012:9475  | 04/06/24 14:37:43 | 88   | 88   | 0.000102951    | 0.000100415   |
| 379028:9476  | 04/06/24 19:55:29 | 542  | 536  | 0.000797887    | 0.000770188   |
| 379029:9476  | 04/06/24 23:25:47 | 77   | 67   | 0.000114823    | 0.000052517   |
| 379030:9476  | 04/06/24 23:55:39 | 18   | 6    | 0.000026336    | 0.000000013   |
| 379031:9476  | 04/07/24 00:02:34 | 298  | 298  | 0.000402941    | 0.000393280   |
| 379058:9479  | 04/07/24 09:33:43 | 846  | 828  | 0.010411524    | 0.009915725   |
| 379059:9479  | 04/07/24 15:02:24 | 97   | 92   | 0.000030080    | 0.000027932   |
| 379060:9479  | 04/07/24 15:39:59 | 225  | 225  | 0.000042372    | 0.000040468   |
| 379075:9483  | 04/08/24 02:28:22 | 390  | 377  | 0.004427787    | 0.004163494   |
| 379154:9485  | 04/08/24 22:12:15 | 1059 | 1059 | 0.011730328    | 0.011435380   |
| 379238:9496  | 04/10/24 16:44:24 | 287  | 287  | 0.017747058    | 0.017131704   |
| 379243:9497  | 04/10/24 20:29:34 | 316  | 316  | 0.019808754    | 0.019471977   |
| 379252:9499  | 04/11/24 01:56:48 | 649  | 645  | 0.046596093    | 0.045200289   |
| 379253:9499  | 04/11/24 06:08:54 | 115  | 115  | 0.008053858    | 0.007943946   |
| 379315:9509  | 04/12/24 06:44:22 | 264  | 252  | 0.016723169    | 0.015598659   |
| 379316:9509  | 04/12/24 08:26:42 | 253  | 2    | 0.019316420    | 0.000135004   |
| 379317:9509  | 04/12/24 10:04:56 | 13   | 5    | 0.000986479    | 0.000353268   |
| 379318:9509  | 04/12/24 10:09:55 | 99   | 99   | 0.006564073    | 0.006485600   |
| 379337:9510  | 04/12/24 13:13:48 | 190  | 183  | 0.011195721    | 0.009560974   |
| 379338:9510  | 04/12/24 14:27:21 | 178  | 178  | 0.013017072    | 0.011777943   |
| 379349:9512  | 04/12/24 21:24:57 | 320  | 313  | 0.044934889    | 0.042553817   |
| 379350:9512  | 04/12/24 23:29:01 | 239  | 228  | 0.038734576    | 0.036154186   |
| 379351:9512  | 04/13/24 01:01:31 | 132  | 123  | 0.021361716    | 0.019507271   |
| 379352:9512  | 04/13/24 01:52:29 | 132  | 125  | 0.021397901    | 0.019361365   |
| 379353:9512  | 04/13/24 02:43:37 | 45   | 39   | 0.007252881    | 0.005552713   |
| 379354:9512  | 04/13/24 03:01:06 | 98   | 91   | 0.015371851    | 0.013622695   |
| 379355:9512  | 04/13/24 03:39:10 | 92   | 42   | 0.013703378    | 0.003658748   |
| 379356:9512  | 04/13/24 04:14:55 | 637  | 632  | 0.079935650    | 0.077264919   |
| 379357:9512  | 04/13/24 08:22:10 | 101  | 29   | 0.010461059    | 0.002908795   |
| 379367:9512  | 04/13/24 09:01:14 | 983  | 983  | 0.074253990    | 0.073405930   |
| 379380:9514  | 04/13/24 18:47:59 | 28   | 1    | 0.001462503    | 0             |
| 379382:9514  | 04/13/24 18:58:53 | 196  | 180  | 0.028211205    | 0.024775087   |
| 379385:9514  | 04/13/24 20:14:58 | 316  | 300  | 0.050077547    | 0.046367308   |
| 379387:9514  | 04/13/24 22:17:31 | 32   | 26   | 0.005057580    | 0.000680904   |
| 379388:9514  | 04/13/24 22:29:47 | 33   | 29   | 0.005209095    | 0.000001892   |
| 379389:9514  | 04/13/24 22:42:28 | 22   | 17   | 0.003476443    | 0.000001784   |
| 379390:9514  | 04/13/24 22:50:41 | 246  | 238  | 0.038064848    | 0.036185875   |
| 379391:9514  | 04/14/24 00:26:09 | 821  | 821  | 0.095602084    | 0.093919155   |
| 379415:9517  | 04/14/24 17:21:12 | 34   | 29   | 0.003007807    | 0.001464080   |
| 379416:9517  | 04/14/24 17:34:18 | 230  | 230  | 0.048553584    | 0.044069491   |
| 379420:9518  | 04/14/24 21:02:08 | 523  | 523  | 0.112850982    | 0.106475609   |
| 379425:9519  | 04/15/24 02:03:05 | 210  | 210  | 0.039495042    | 0.037172976   |
| 379433:9520  | 04/15/24 05:12:24 | 31   | 29   | 0.001750890    | 0.001579091   |
| 379442:9521  | 04/15/24 07:07:23 | 283  | 274  | 0.056053636    | 0.052771605   |
| 379454:9523  | 04/15/24 11:24:35 | 522  | 510  | 0.113813616    | 0.100720158   |
| 379456:9523  | 04/15/24 14:47:09 | 1207 | 1207 | 0.214604523    | 0.201521477   |
| 379470:9525  | 04/16/24 00:37:39 | 810  | 810  | 0.178958924    | 0.168064850   |
| 379523:9529  | 04/16/24 19:04:01 | 71   | 62   | 0.000032076    | 0.000023306   |
| 379524:9529  | 04/16/24 19:31:20 | 438  | 438  | 0.000321281    | 0.000314915   |
| 379530:9530  | 04/17/24 01:11:50 | 603  | 603  | 0.194687880    | 0.181629862   |
| 379613:9537  | 04/18/24 03:19:30 | 137  | 131  | 0.037597652    | 0.030672278   |
| 379614:9537  | 04/18/24 04:12:31 | 8    | 2    | 0.002767377    | 0.000000233   |
