# Generated with `brilcalc lumi -b "STABLE BEAMS" --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_BRIL.json -u /fb --begin 10491 --end 11745 >& lumi_25_26.txt` on 26/08/17
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+--------------+-------------------+------+------+----------------+---------------+
| 390953:10491 | 04/22/25 07:58:18 | 233  | 224  | 0.000000225    | 0.000000208   |
| 390955:10491 | 04/22/25 09:28:47 | 99   | 87   | 0.000000068    | 0.000000059   |
| 390956:10491 | 04/22/25 10:07:01 | 49   | 44   | 0.000000031    | 0.000000027   |
| 390957:10491 | 04/22/25 10:25:52 | 13   | 3    | 0.000000008    | 0             |
| 390958:10491 | 04/22/25 10:30:36 | 55   | 45   | 0.000000027    | 0.000000020   |
| 390959:10491 | 04/22/25 10:51:57 | 25   | 16   | 0.000000014    | 0.000000008   |
| 390960:10491 | 04/22/25 11:01:21 | 275  | 273  | 0.000000123    | 0.000000120   |
| 391133:10530 | 04/26/25 18:39:35 | 7    | 0    | 0.000000009    | 0             |
| 391134:10530 | 04/26/25 18:42:16 | 14   | 5    | 0.000000019    | 0             |
| 391135:10530 | 04/26/25 18:47:33 | 128  | 119  | 0.000000129    | 0.000000117   |
| 391136:10530 | 04/26/25 19:37:10 | 16   | 9    | 0.000000012    | 0.000000003   |
| 391137:10530 | 04/26/25 19:43:24 | 206  | 206  | 0.000000126    | 0.000000122   |
| 391658:10589 | 05/05/25 11:49:02 | 180  | 180  | 0.000046437    | 0.000044260   |
| 391668:10590 | 05/05/25 14:56:17 | 282  | 250  | 0.000313987    | 0.000252491   |
| 391670:10590 | 05/05/25 16:45:51 | 148  | 141  | 0.000246280    | 0.000199085   |
| 391671:10590 | 05/05/25 17:43:18 | 351  | 344  | 0.000633387    | 0.000556973   |
| 391672:10590 | 05/05/25 19:59:34 | 15   | 8    | 0.000026891    | 0.000012736   |
| 391673:10590 | 05/05/25 20:05:08 | 28   | 20   | 0.000050216    | 0.000029548   |
| 391674:10590 | 05/05/25 20:15:56 | 40   | 33   | 0.000071197    | 0.000053983   |
| 391675:10590 | 05/05/25 20:31:15 | 40   | 33   | 0.000075555    | 0.000058490   |
| 391676:10590 | 05/05/25 20:46:27 | 41   | 34   | 0.000075162    | 0.000058479   |
| 391677:10590 | 05/05/25 21:02:07 | 40   | 33   | 0.000072038    | 0.000055843   |
| 391678:10590 | 05/05/25 21:17:40 | 40   | 33   | 0.000069569    | 0.000054133   |
| 391679:10590 | 05/05/25 21:33:02 | 57   | 32   | 0.000094923    | 0.000050603   |
| 391682:10590 | 05/05/25 21:54:56 | 18   | 8    | 0.000029180    | 0.000003799   |
| 391683:10590 | 05/05/25 22:01:52 | 40   | 32   | 0.000062903    | 0.000048782   |
| 391684:10590 | 05/05/25 22:17:05 | 40   | 32   | 0.000061362    | 0.000047889   |
| 391685:10590 | 05/05/25 22:32:22 | 40   | 33   | 0.000059417    | 0.000047369   |
